time,lat,lon,depth,prochloro_abundance,synecho_abundance
1997-01-08,16.37,-240.05,0.5,NA,39770
1997-01-09,16.348,-240.07,0.5,NA,15000
1997-01-14,16.46,-240.08,0.5,NA,880
1997-01-15,16.38,-240.09,0.5,NA,950
1997-01-24,16.348,-240.07,0.5,NA,2730
1997-01-24,16.37,-240.05,0.5,NA,580
1997-01-28,16.46,-240.08,0.5,NA,360
1997-01-29,16.38,-240.09,0.5,NA,210
1997-02-08,16.37,-240.05,0.5,NA,2920
1997-02-09,16.348,-240.07,0.5,NA,3410
1997-02-11,16.46,-240.08,0.5,NA,1410
1997-02-12,16.38,-240.09,0.5,NA,2850
1997-02-23,16.37,-240.05,0.5,NA,1170
1997-02-24,16.348,-240.07,0.5,NA,2730
1997-02-25,16.46,-240.08,0.5,NA,2570
1997-02-26,16.38,-240.09,0.5,NA,630
1997-03-09,16.348,-240.07,0.5,NA,39550
1997-03-09,16.37,-240.05,0.5,NA,5260
1997-03-09,16.46,-240.08,0.5,NA,670
1997-03-10,16.38,-240.09,0.5,NA,740
1996-03-17,16.38,-240.09,0.5,NA,12230
1996-03-18,16.348,-240.07,0.5,NA,15680
1996-03-18,16.46,-240.08,0.5,NA,210
1996-03-19,16.37,-240.05,0.5,NA,4090
1997-03-23,16.37,-240.05,0.5,NA,14620
1997-03-24,16.348,-240.07,0.5,NA,3410
1997-03-24,16.46,-240.08,0.5,NA,570
1997-03-25,16.38,-240.09,0.5,NA,1270
1996-04-06,16.46,-240.08,0.5,NA,2320
1997-04-09,16.348,-240.07,0.5,NA,17050
1997-04-09,16.37,-240.05,0.5,NA,3510
1996-04-09,16.348,-240.07,0.5,NA,14320
1996-04-10,16.37,-240.05,0.5,NA,5260
1998-04-15,16.078,-239.81,1,NA,4006
1998-04-15,16.078,-239.81,8,NA,2935
1998-04-15,16.127,-239.64,1,NA,2863
1998-04-15,16.127,-239.64,5,NA,3813
1998-04-15,16.147,-239.8,1,NA,1842
1998-04-15,16.147,-239.8,8,NA,2255
1998-04-15,16.147,-239.8,25,NA,1548
1998-04-15,16.217,-239.67,1,NA,2361
1998-04-15,16.217,-239.67,5,NA,2291
1998-04-15,16.231,-239.86,1,NA,1697
1998-04-15,16.231,-239.86,8,NA,1354
1998-04-15,16.231,-239.86,30,NA,2430
1998-04-15,16.258,-239.76,1,NA,1268
1998-04-15,16.258,-239.76,8,NA,1711
1998-04-15,16.258,-239.76,30,NA,2053
1998-04-15,16.269,-239.67,1,NA,1399
1998-04-15,16.269,-239.67,5,NA,1840
1998-04-15,16.413,-240,1,NA,993
1998-04-15,16.413,-240,10,NA,1192
1998-04-15,16.501,-239.87,1,NA,1475
1998-04-15,16.501,-239.87,10,NA,1489
1998-04-15,16.501,-239.87,30,NA,2520
1998-04-15,16.513,-240.09,1,NA,993
1998-04-15,16.513,-240.09,10,NA,1231
1998-04-15,16.513,-240.09,30,NA,1253
1999-04-15,16.343,-240.08,0.5,NA,1087.5
1999-04-15,16.348,-240.07,0.5,NA,4261.5
1999-04-15,16.37,-240.05,0.5,NA,1668
1999-04-15,16.38,-240.09,0.5,NA,484.5
1999-04-15,16.384,-240.09,0.5,NA,465.5
1999-04-15,16.397,-240.11,0.5,NA,1419
1999-04-15,16.416,-240.1,0.5,NA,837
1999-04-15,16.42,-240.12,0.5,NA,133
